No.,検索クエリ, 表示回数 , クリック数▼ , CTR , 掲載順位 
1,アイムユニバース,1748,782,44.74%,1
2,バシレイオン,596,202,33.89%,1
3,鳥のフン 掃除,991,155,15.64%,1
4,アイムユニバース 沖縄,192,110,57.29%,1
5,鳩のフン 掃除,487,97,19.92%,1
6,キャンプ パン焼き,465,73,15.70%,3
7,鳩のフン,783,71,9.07%,2
8,バシレイオン 評判,172,61,35.47%,1
9,アイム・ユニバース,129,54,41.86%,1
10,屋上 タープ,139,52,37.41%,1
11,センスのいい ディスプレイ,512,50,9.77%,3
12,屋上菜園,428,49,11.45%,1
13,ベランダ 鳥のふん 掃除,253,48,18.97%,1
14,株式会社アイム・ユニバース,96,47,48.96%,1
15,アイムユニバース 評判,646,46,7.12%,2
16,家キャンプ テント,206,45,21.84%,3
17,バーベキュー 肉 仕込み,94,42,44.68%,2
18,屋上 キャンプ,130,42,32.31%,1
19,屋上 焚き火,78,38,48.72%,1
20,屋上テラス,483,36,7.45%,1
21,キャンプ パン,882,34,3.85%,7
22,屋上 バーベキュー,381,33,8.66%,5
23,bbq 肉 仕込み,73,33,45.21%,2
24,エアリアルヨガ 効果,257,31,12.06%,1
25,ダッチオーブン パン 自宅,109,31,28.44%,5
26,ラヴィシア寄宮,36,31,86.11%,1
27,スキレット パン,419,30,7.16%,7
28,aim universe,41,30,73.17%,1
29,鳩のフン 掃除 洗剤,66,30,45.45%,1
30,ベランダ 鳩のフン,59,29,49.15%,1
31,鳥のふん 掃除,88,26,29.55%,1
32,鳥の糞 掃除,91,26,28.57%,1
33,屋上 目隠し,83,26,31.33%,3
34,屋上 サンルーム,79,26,32.91%,1
35,屋上 テント 固定,72,25,34.72%,2
36,鳩 フン 掃除,84,25,29.76%,1
37,屋上 サンルーム 違法,70,25,35.71%,2
38,株式会社アイムユニバース,40,24,60%,1
39,屋上 芝生,78,24,30.77%,1
40,家 露天風呂 費用,61,24,39.34%,2
41,パティオヒーター,101,24,23.76%,3
42,屋上で焚き火,41,24,58.54%,1
43,おうちテント,199,23,11.56%,7
44,鳩フン 掃除,66,23,34.85%,1
45,自宅 露天風呂,103,23,22.33%,4
46,屋上 畑,47,23,48.94%,1
47,エアリアルヨガ,1652,23,1.39%,11
48,屋上キャンプ,66,22,33.33%,1
49,ホームパーティー,449,22,4.90%,17
50,屋上バーベキュー 自宅,85,22,25.88%,2
51,自宅に露天風呂 費用,41,22,53.66%,1
52,屋上 家具,65,20,30.77%,1
53,アイムユニバース 社長,101,20,19.80%,2
54,ハンモックヨガ 効果,90,19,21.11%,1
55,おうちキャンプ 室内,136,19,13.97%,7
56,キャンプ パン スキレット,77,19,24.68%,2
57,自転車 鳥のフン 掃除,27,19,70.37%,1
58,自宅 露天風呂 費用,55,19,34.55%,3
59,庭 タープ 常設,93,18,19.35%,4
60,アイムユニバース 建売 評判,123,18,14.63%,1
61,おうちキャンプ テント,95,18,18.95%,3
62,屋上 ドッグラン,43,18,41.86%,1
63,ぐっすり眠れる部屋,98,18,18.37%,1
64,鳩 ベランダ 漂白剤,231,17,7.36%,6
65,鳩 屋根の上,38,17,44.74%,1
66,スキレット パン キャンプ,77,17,22.08%,1
67,屋上菜園 初心者,33,17,51.52%,1
68,キャンプ飯,481,16,3.33%,46
69,キャンプ オーブン 代用,53,16,30.19%,3
70,お家キャンプ テント,60,16,26.67%,2
71,ベランダ サウナ,51,16,31.37%,5
72,屋上のある家 雪,35,16,45.71%,4
73,鳥のフン 洗剤,45,16,35.56%,2
74,屋上ドッグラン,27,16,59.26%,1
75,キャンプでパンを焼く,124,16,12.90%,3
76,株式会社 アイム・ユニバース,22,15,68.18%,1
77,屋上 テント,80,15,18.75%,4
78,アイムユニバース建設,55,15,27.27%,1
79,屋上 バーベキュー 自宅,56,15,26.79%,2
80,露天風呂 自宅,39,15,38.46%,2
81,屋上 タープ 固定,23,15,65.22%,1
82,ベランダバーベキュー 煙対策,49,15,30.61%,3
83,空中ヨガ 効果,82,15,18.29%,1
84,タープ 屋上,55,15,27.27%,1
85,庭でできる運動,38,15,39.47%,2
